ID,x,y,z,nx,ny,nz,s
0,-0.035480773,-0.4548,-0.044782409,-0.0499131,-0.0790667,-0.995619,0.000177444
1,-0.035480773,0.4548,-0.044782409,-0.0499131,0.0790667,-0.995619,0.000177444
2,0.035480773,-0.4548,-0.044782409,0.0499131,-0.0790667,-0.995619,0.000177444
3,0.035480773,0.4548,-0.044782409,0.0499131,0.0790667,-0.995619,0.000177444
4,-0.454881818,-0.035003955,-0.044781455,-0.0779724,-0.0503226,-0.995685,0.000175581
5,-0.454881818,0.035003955,-0.044781455,-0.0779724,0.0503226,-0.995685,0.000175581
6,0.454881818,-0.035003955,-0.044781455,0.0779724,-0.0503226,-0.995685,0.000175581
7,0.454881818,0.035003955,-0.044781455,0.0779724,0.0503226,-0.995685,0.000175581
8,-0.454343636,-0.007715091,-0.044694773,0,0.049179,-0.99879,0.000234388
9,-0.454343636,0.007715091,-0.044694773,0,-0.049179,-0.99879,0.000234388
10,-0.007864727,-0.454310455,-0.044694773,0.0482417,0,-0.998836,0.000238924
11,-0.007864727,0.454310455,-0.044694773,0.0482417,0,-0.998836,0.000238924
12,0.007864727,-0.454310455,-0.044694773,-0.0482417,0,-0.998836,0.000238924
13,0.007864727,0.454310455,-0.044694773,-0.0482417,0,-0.998836,0.000238924
14,0.454343636,-0.007715091,-0.044694773,0,0.049179,-0.99879,0.000234388
15,0.454343636,0.007715091,-0.044694773,0,-0.049179,-0.99879,0.000234388
16,-0.449118182,-0.057575455,-0.044416864,-0.0254034,-0.0386272,-0.998931,0.000230731
17,-4.49E-01,0.057575455,-0.044416864,-0.0254034,3.86E-02,-9.99E-01,0.000230731
18,0.449118182,-0.057575455,-0.044416864,0.0254034,-0.0386272,-0.998931,0.000230731
19,0.449118182,0.057575455,-0.044416864,0.0254034,0.0386272,-0.998931,0.000230731
20,-0.058784091,-0.448795455,-0.044409909,-0.0391357,-0.0221929,-0.998987,0.000240072
21,-0.058784091,0.448795455,-0.044409909,-0.0391357,0.0221929,-0.998987,0.000240072
22,0.058784091,-0.448795455,-0.044409909,0.0391357,-0.0221929,-0.998987,0.000240072
23,0.058784091,0.448795455,-0.044409909,0.0391357,0.0221929,-0.998987,0.000240072
24,-0.075368636,-0.451162273,-0.044314364,0.0197742,-0.00578829,-0.999788,0.00035511
25,-0.075368636,0.451162273,-0.044314364,0.0197742,0.00578829,-0.999788,0.00035511
26,0.075368636,-0.451162273,-0.044314364,-0.0197742,-0.00578829,-0.999788,0.00035511
27,0.075368636,0.451162273,-0.044314364,-0.0197742,0.00578829,-0.999788,0.00035511
28,-0.048317273,-0.457463636,-0.044294318,-0.00354339,-0.0583005,-0.998293,0.000226362
29,-0.048317273,0.457463636,-0.044294318,-0.00354339,0.0583005,-0.998293,0.000226362
30,0.048317273,-0.457463636,-0.044294318,0.00354339,-0.0583005,-0.998293,0.000226362
31,0.048317273,0.457463636,-0.044294318,0.00354339,0.0583005,-0.998293,0.000226362
32,-4.52E-01,0.073710455,-0.044291773,-0.0119283,-1.79E-02,-1.00E+00,0.000341155
33,-0.451755455,-0.073710455,-0.044291773,-0.0119283,0.017892,-0.999769,0.000341155
34,0.451755455,-0.073710455,-0.044291773,0.0119283,0.017892,-0.999769,0.000341155
35,0.451755455,0.073710455,-0.044291773,0.0119283,-0.017892,-0.999769,0.000341155
36,-4.59E-01,0.047699545,-0.044278182,-0.0594297,4.77E-03,-9.98E-01,0.000220033
37,-0.457609091,-0.047699545,-0.044278182,-0.0594297,-0.00477015,-0.998221,0.000220033
38,0.457609091,-0.047699545,-0.044278182,0.0594297,-0.00477015,-0.998221,0.000220033
39,0.457609091,0.047699545,-0.044278182,0.0594297,0.00477015,-0.998221,0.000220033
