ID,x,y,z,nx,ny,nz,s
4402,0.245109,-0.259873,0.349335,0.492059,-0.521513,0.697067,0.000452434
4403,-0.127413,-0.333489,0.349468,-0.256187,-0.672041,0.694787,0.000528215
4404,0.322786,0.151881,0.349695,0.644855,0.304789,0.700903,0.000588217
4405,-0.0896066,-0.345209,0.349848,-0.179697,-0.693954,0.697235,0.000520123
4406,0.2694,-0.233639,0.350128,0.539014,-0.4707,0.698502,0.000312708
4407,-0.075029,0.348252,0.350171,-0.149813,0.6955,0.702734,0.000609053
4408,0.353255,-0.0456743,0.350182,0.707229,-0.0923633,0.700925,0.000645782
4409,0.00783543,-0.356136,0.350197,0.018406,-0.71118,0.702769,0.000598835
4410,0.174902,0.310265,0.350206,0.348524,0.621936,0.701233,0.000647772
4411,0.257895,0.245567,0.350319,0.513889,0.490232,0.703982,0.000594609
4412,-0.182789,-0.30525,0.350601,-0.367471,-0.607236,0.704436,0.000619274
4413,0.355081,0.0215284,0.350657,0.712998,0.0435785,0.69981,0.000634997
4414,-0.352865,-0.0443479,0.350763,-0.708428,-0.0905664,0.699948,0.000622804
4415,-0.343305,0.092328,0.350831,-0.687899,0.183505,0.702226,0.000693346
4416,-0.335549,0.116838,0.35089,-0.67202,0.23911,0.700868,0.000800463
4417,0.0900973,-0.343884,0.350929,0.177298,-0.688577,0.703155,0.000610996
4418,0.326278,-0.141333,0.350983,0.652842,-0.282837,0.702709,0.000491863
4419,-0.177762,0.307703,0.351189,-0.35616,0.614446,0.703993,0.000499071
4420,-0.35453,-0.021648,0.351223,-0.708302,-0.0418004,0.704671,0.000621945
4421,0.110793,0.337169,0.351487,0.220382,0.675906,0.703266,0.000646456
4422,-0.351702,0.0466175,0.351659,-0.702859,0.0953721,0.704906,0.000604053
4423,0.132433,0.328909,0.351826,0.266691,0.657968,0.70424,0.00064617
4424,-0.353799,0.0238947,0.351828,-0.709445,0.0456181,0.703283,0.000608744
4425,0.353821,-0.0228905,0.351831,0.709211,-0.0446522,0.70358,0.00065009
4426,-0.111907,0.336287,0.352039,-0.224232,0.671798,0.70598,0.000590365
4427,0.278097,-0.219791,0.352299,0.560425,-0.438488,0.702603,0.000300002
4428,-0.146067,0.322687,0.352338,-0.292725,0.645418,0.705512,0.000514176
4429,0.302518,0.183486,0.352631,0.604193,0.368771,0.70637,0.000604242
4430,-0.321319,-0.146371,0.353321,-0.644523,-0.294817,0.705459,0.000636926
4431,0.280476,0.214271,0.353503,0.559942,0.429648,0.708426,0.000591181
4432,0.110852,-0.334286,0.354252,0.225724,-0.670114,0.707104,0.000600276
4433,-0.145172,-0.320698,0.354442,-0.290281,-0.637208,0.713935,0.000560853
4434,-0.0309779,-0.350617,0.354478,-0.0591073,-0.700222,0.711474,0.000579269
4435,-0.244469,0.253436,0.354584,-0.490295,0.501646,0.712715,0.000338389
4436,0.33012,-0.121801,0.354646,0.661786,-0.242332,0.709446,0.000532092
4437,0.00663867,0.351309,0.354994,0.0137271,0.703765,0.7103,0.000671757
4438,0.342974,0.0760443,0.355073,0.68437,0.153226,0.712853,0.000655329
4439,-0.231115,0.264575,0.355416,-0.458426,0.529689,0.713636,0.000333057
4440,-0.068928,-0.343751,0.355864,-0.135937,-0.686552,0.71426,0.000571715
4441,-0.248155,-0.246524,0.356366,-0.495714,-0.496876,0.712307,0.00083178
4442,-0.106619,-0.333366,0.356479,-0.212225,-0.662138,0.718702,0.000523193
4443,0.307962,-0.166553,0.3565,0.616029,-0.33082,0.714889,0.000419305
4444,0.220995,0.270653,0.35696,0.444129,0.542014,0.713422,0.000631146
4445,-0.326359,-0.124245,0.357162,-0.651104,-0.246923,0.717699,0.00062592
4446,-0.298916,-0.18045,0.357177,-0.599321,-0.362859,0.713546,0.000660691
4447,0.0525723,-0.344742,0.35766,0.101683,-0.690866,0.715797,0.000598251
