xp,yp,gpz,vor,up,vp,sp,active,chi
2.07,-0.73,0.000137342,0.343356,1.064,0.424297,0.02,1,0
2.09,-0.73,0.000118609,0.296524,1.05538,0.421032,0.02,1,0
2.11,-0.73,0.000101596,0.25399,1.04678,0.417328,0.02,1,0
2.13,-0.79,1.33394e-05,0.0333486,1.05759,0.386563,0.02,1,0
2.15,-0.79,6.961e-06,0.0174025,1.04857,0.382507,0.02,1,0
2.17,-0.79,1.22437e-06,0.00306092,1.03977,0.378216,0.02,1,0
2.19,-0.79,-3.61121e-06,-0.00902803,1.03117,0.373603,0.02,1,0
2.13,-0.77,3.28657e-05,0.0821642,1.05244,0.395618,0.02,1,0
2.15,-0.77,2.41719e-05,0.0604299,1.04352,0.391399,0.02,1,0
2.17,-0.77,1.65057e-05,0.0412642,1.03477,0.386886,0.02,1,0
2.19,-0.77,9.7022e-06,0.0242555,1.02623,0.382112,0.02,1,0
2.13,-0.75,5.69833e-05,0.142458,1.04606,0.404539,0.02,1,0
2.15,-0.75,4.57798e-05,0.11445,1.03731,0.400168,0.02,1,0
2.17,-0.75,3.57495e-05,0.0893737,1.02871,0.395474,0.02,1,0
2.19,-0.75,2.67891e-05,0.0669728,1.0203,0.390468,0.02,1,0
2.13,-0.73,8.6126e-05,0.215315,1.03822,0.413216,0.02,1,0
2.15,-0.73,7.20903e-05,0.180226,1.02975,0.408726,0.02,1,0
2.17,-0.73,5.94095e-05,0.148524,1.0214,0.403888,0.02,1,0
2.19,-0.73,4.79527e-05,0.119882,1.01317,0.398753,0.02,1,0
2.05,-0.71,0.000206715,0.516786,1.06097,0.435344,0.02,1,0
2.07,-0.71,0.000182176,0.455441,1.05299,0.43263,0.02,1,0
2.09,-0.71,0.000159743,0.399358,1.04493,0.429398,0.02,1,0
2.11,-0.71,0.000139234,0.348085,1.03682,0.425688,0.02,1,0
2.05,-0.69,0.000261465,0.653662,1.0469,0.442878,0.02,1,0
2.07,-0.69,0.000232865,0.582162,1.03968,0.440307,0.02,1,0
2.09,-0.69,0.000206541,0.516352,1.03231,0.437171,0.02,1,0
2.11,-0.69,0.000182313,0.455783,1.02484,0.433509,0.02,1,0
2.05,-0.67,0.000321655,0.804136,1.03015,0.449534,0.02,1,0
2.07,-0.67,0.000288966,0.722416,1.02385,0.447178,0.02,1,0
2.09,-0.67,0.000258655,0.646637,1.01733,0.444203,0.02,1,0
2.11,-0.67,0.000230566,0.576414,1.01064,0.440653,0.02,1,0
2.05,-0.65,0.000386427,0.966067,1.01056,0.455162,0.02,1,0
2.07,-0.65,0.000349761,0.874401,1.00533,0.453094,0.02,1,0
2.09,-0.65,0.00031548,0.7887,0.9998,0.450351,0.02,1,0
2.11,-0.65,0.000283485,0.708713,0.994032,0.446978,0.02,1,0
2.13,-0.71,0.000120458,0.301146,1.02871,0.421532,0.02,1,0
2.15,-0.71,0.000103303,0.258257,1.02064,0.416964,0.02,1,0
2.17,-0.71,8.76869e-05,0.219217,1.01265,0.412011,0.02,1,0
2.19,-0.71,7.35076e-05,0.183769,1.0048,0.406684,0.02,1,0
2.13,-0.69,0.000159993,0.399982,1.01732,0.429362,0.02,1,0
2.15,-0.69,0.000139468,0.348671,1.00977,0.424763,0.02,1,0
